   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000    
   1.00000005E-03   4.75025550E-02   6.97317719E-03  -2.72972211E-02  -2.09259707E-02   5.81665784E-02   7.58255599E-03   6.49330169E-02   6.94250613E-02  -1.35134831E-02   7.01961964E-02   6.36570603E-02   9.17563867E-03   5.03582470E-02   3.69662344E-02  -1.11265909E-02   1.66161992E-02
   2.00000009E-03   9.49908569E-02   1.39271012E-02  -5.45219146E-02  -4.17951681E-02  0.116292454       1.51441200E-02  0.129794806      0.138747051      -2.69896910E-02  0.140262991      0.127177283       1.83258727E-02  0.100596204       7.38380104E-02  -2.22224072E-02   3.31868194E-02
   3.00000003E-03  0.142450660       2.08425745E-02  -8.16017464E-02  -6.25509769E-02  0.174337000       2.26637628E-02  0.194514155      0.207862988      -4.03914526E-02  0.210071176      0.190424129       2.74253655E-02  0.150593877      0.110521078      -3.32567617E-02   4.96664234E-02
   4.00000019E-03  0.189867750       2.77004950E-02 -0.108464763      -8.31370875E-02  0.232259572       3.01206540E-02  0.259020150      0.276670337      -5.36817983E-02  0.279492080      0.253261685       3.64489183E-02  0.200231835      0.146921739      -4.41991165E-02   6.60097972E-02
   4.99999989E-03  0.237227932       3.44819352E-02 -0.135039568     -0.103497609      0.290019691       3.74941491E-02  0.323241919      0.345066875      -6.68240711E-02  0.348397702      0.315554768       4.53715399E-02  0.249391466      0.182946891      -5.50192110E-02   8.21721032E-02
   6.00000005E-03  0.284516990       4.11681533E-02 -0.161255509     -0.123577327      0.347576886       4.47638519E-02  0.387109131      0.412951052      -7.97819942E-02  0.416661084      0.377169579       5.41685559E-02  0.297955304      0.218504444      -6.56871200E-02   9.81090218E-02
   7.00000022E-03  0.331720859       4.77407090E-02 -0.187042922     -0.143321693      0.404891133       5.19096181E-02  0.450551778      0.480222285      -9.25198346E-02  0.484156311      0.437973529       6.28155395E-02  0.345807344      0.253503531      -7.61733055E-02  0.113776781    
   8.00000038E-03  0.378825337       5.41813858E-02 -0.212333202     -0.162677124      0.461922258       5.89116402E-02  0.513500273      0.546780407     -0.105002403      0.550758898      0.497835904       7.12885782E-02  0.392833143      0.287854552      -8.64487663E-02  0.129132420    
   8.99999961E-03  0.425816327       6.04724549E-02 -0.237059027     -0.181591004      0.518630445       6.57505393E-02  0.575885594      0.612527013     -0.117195278      0.616346180      0.556627870       7.95641914E-02  0.438920140      0.321469575      -9.64850485E-02  0.144133747    
   9.99999978E-03  0.472680181       6.65965676E-02 -0.261154681     -0.200012073      0.574976265       7.24073499E-02  0.637639403      0.677364349     -0.129064783      0.680797160      0.614223123       8.76194611E-02  0.483958274      0.354262680     -0.106254376      0.158739612    
   1.09999999E-02  0.519402444       7.25366995E-02 -0.284555972     -0.217890114      0.630920291       7.88636804E-02  0.698694348      0.741196513     -0.140578121      0.743993163      0.670497537       9.54320431E-02  0.527839661      0.386149794     -0.115729704      0.172909856    
   1.20000001E-02  0.565969765       7.82765076E-02 -0.307200491     -0.235176548      0.686423719       8.51016119E-02  0.758983612      0.803928494     -0.151703477      0.805817544      0.725330055      0.102980331      0.570459187      0.417049140     -0.124884777      0.186605543    
   1.30000003E-02  0.612367868       8.38000849E-02 -0.329027951     -0.251824379      0.741447985       9.11038145E-02  0.818440914      0.865467668     -0.162410185      0.866156399      0.778602719      0.110243298      0.611714840      0.446881592     -0.133694261      0.199788973    
   1.40000004E-02  0.658583581       8.90922248E-02 -0.349980116     -0.267788321      0.795954466       9.68537107E-02  0.877001464      0.925722599     -0.172668472      0.924898624      0.830200732      0.117200837      0.651507735      0.475570589     -0.142133623      0.212424040    
   1.49999997E-02  0.704602838       9.41381678E-02 -0.370001018     -0.283024758      0.849905729      0.102335259      0.934601426      0.984604180     -0.182450116      0.981935620      0.880012751      0.123833671      0.689742327      0.503042340     -0.150179625      0.224475756    
   1.60000008E-02  0.750412643       9.89240631E-02 -0.389037162     -0.297492296      0.903264403      0.107533328      0.991177917       1.04202533     -0.191727996       1.03716254      0.927931726      0.130123392      0.726326883      0.529226303     -0.157809824      0.235911161    
   1.70000009E-02  0.795998931      0.103436656     -0.407037675     -0.311151356      0.955993116      0.112433471       1.04666924       1.09790087     -0.200476393       1.09047759      0.973854005      0.136052489      0.761173487      0.554055154     -0.165003091      0.246698484    
   1.79999992E-02  0.841348767      0.107663356     -0.423954219     -0.323964626       1.00805569      0.117022067       1.10101473       1.15214825     -0.208671078       1.14178216       1.01768053      0.141604498      0.794198155      0.577464640     -0.171739459      0.256808162    
   1.89999994E-02  0.886449039      0.111592561     -0.439741552     -0.335897088       1.05941665      0.121286333       1.15415561       1.20468748     -0.216289282       1.19098222       1.05931687      0.146763965      0.825321555      0.599394679     -0.178000167      0.266212195    
   1.99999996E-02  0.931286633      0.115213364     -0.454357207     -0.346916050       1.11003983      0.125214472       1.20603418       1.25544071     -0.223309949       1.23798645       1.09867299      0.151516601      0.854468465      0.619788349     -0.183767825      0.274884552    
   2.09999997E-02  0.975848615      0.118515633     -0.467761725     -0.356991231       1.15989101      0.128795564       1.25659370       1.30433321     -0.229713410       1.28270876       1.13566339      0.155849099      0.881568611      0.638592899     -0.189026326      0.282801270    
   2.19999999E-02   1.02012193      0.121490270     -0.479919195     -0.366095036       1.20893538      0.132019490       1.30577981       1.35129261     -0.235481948       1.32506657       1.17020857      0.159749404      0.906556308      0.655759513     -0.193761066      0.289940387    
